client,client_type,task_type,priority,task_text
Client_4,Growth,Copy revision,Low,Review and correct the client's text. Issue related to 'simplify'.
Client_30,Growth,New item,High,A new resource needs to be created from scratch. Issue related to 'cuts off'.
Client_14,Neutral,Copy revision,Low,Review and correct the client's text. Issue related to 'change text'.
Client_4,Retention,Design issue,Urgent,There is a design problem that needs to be fixed. Issue related to 'incomplete'.
Client_6,Neutral,Copy revision,Normal,Review and correct the client's text. Issue related to 'increase space'.
Client_26,Growth,Design issue,High,There is a design problem that needs to be fixed. Issue related to 'not visible'.
Client_40,Growth,Requested change,Low,The client requested a specific change. Issue related to 'rewrite'.
Client_21,Growth,New item,High,A new resource needs to be created from scratch. Issue related to 'cuts off'.
Client_30,Retention,Copy revision,Urgent,Review and correct the client's text. Issue related to 'does not load'.
Client_5,Retention,Requested change,Urgent,The client requested a specific change. Issue related to 'does not allow to continue'.
Client_5,Neutral,Requested change,High,The client requested a specific change. Issue related to 'critical'.
Client_35,Neutral,Copy revision,Normal,Review and correct the client's text. Issue related to 'delete'.
Client_7,Neutral,Design issue,High,There is a design problem that needs to be fixed. Issue related to 'does not load'.
Client_36,Growth,Requested change,High,The client requested a specific change. Issue related to 'not responsive / does not adapt'.
Client_14,Retention,Requested change,High,The client requested a specific change. Issue related to 'blocks'.
Client_4,Growth,New item,Low,A new resource needs to be created from scratch. Issue related to 'change text'.
Client_1,Retention,Design issue,Normal,There is a design problem that needs to be fixed. Issue related to 'improve visibility'.
Client_11,Neutral,New item,Normal,A new resource needs to be created from scratch. Issue related to 'replace'.
Client_5,Neutral,Design issue,Normal,There is a design problem that needs to be fixed. Issue related to 'center'.
Client_38,Retention,New item,Urgent,A new resource needs to be created from scratch. Issue related to 'cuts off'.
Client_24,Neutral,Copy revision,Low,Review and correct the client's text. Issue related to 'rewrite'.
Client_16,Retention,Requested change,Normal,The client requested a specific change. Issue related to 'change image'.
Client_40,Neutral,Design issue,Low,There is a design problem that needs to be fixed. Issue related to 'content adjustment'.
Client_12,Neutral,Copy revision,High,Review and correct the client's text. Issue related to 'not responsive / does not adapt'.
Client_27,Neutral,Design issue,High,There is a design problem that needs to be fixed. Issue related to 'does not load'.
Client_25,Neutral,New item,High,A new resource needs to be created from scratch. Issue related to 'critical'.
Client_23,Retention,Design issue,High,There is a design problem that needs to be fixed. Issue related to 'broken / is broken'.
Client_26,Retention,Copy revision,Low,Review and correct the client's text. Issue related to 'simplify'.
Client_23,Retention,New item,Normal,A new resource needs to be created from scratch. Issue related to 'align'.
Client_2,Growth,Requested change,Urgent,The client requested a specific change. Issue related to 'blocks'.
Client_3,Growth,New item,Normal,A new resource needs to be created from scratch. Issue related to 'align'.
Client_28,Retention,Copy revision,High,Review and correct the client's text. Issue related to 'broken / is broken'.
Client_17,Growth,New item,Urgent,A new resource needs to be created from scratch. Issue related to 'broken / is broken'.
Client_24,Retention,Requested change,Normal,The client requested a specific change. Issue related to 'replace'.
Client_20,Retention,New item,High,A new resource needs to be created from scratch. Issue related to 'cuts off'.
Client_36,Growth,New item,Normal,A new resource needs to be created from scratch. Issue related to 'change color'.
Client_12,Retention,Requested change,High,The client requested a specific change. Issue related to 'does not work'.
Client_20,Growth,New item,Low,A new resource needs to be created from scratch. Issue related to 'alt text'.
Client_21,Retention,New item,Normal,A new resource needs to be created from scratch. Issue related to 'spacing'.
Client_31,Neutral,Design issue,Normal,There is a design problem that needs to be fixed. Issue related to 'delete'.
Client_33,Retention,Requested change,Urgent,The client requested a specific change. Issue related to 'misconfigured'.
Client_20,Growth,Design issue,Urgent,There is a design problem that needs to be fixed. Issue related to 'not visible'.
Client_16,Neutral,Copy revision,Normal,Review and correct the client's text. Issue related to 'reduce size'.
Client_25,Retention,Design issue,Urgent,There is a design problem that needs to be fixed. Issue related to 'does not work'.
Client_7,Neutral,Design issue,High,There is a design problem that needs to be fixed. Issue related to 'incomplete'.
Client_30,Growth,Design issue,Low,There is a design problem that needs to be fixed. Issue related to 'spelling'.
Client_30,Growth,New item,Normal,A new resource needs to be created from scratch. Issue related to 'align'.
Client_29,Retention,New item,Normal,A new resource needs to be created from scratch. Issue related to 'change button'.
Client_11,Neutral,New item,Normal,A new resource needs to be created from scratch. Issue related to 'increase space'.
Client_18,Neutral,New item,Normal,A new resource needs to be created from scratch. Issue related to 'improve visibility'.
Client_29,Growth,Requested change,Urgent,The client requested a specific change. Issue related to 'not responsive / does not adapt'.
Client_21,Neutral,Copy revision,High,Review and correct the client's text. Issue related to 'misconfigured'.
Client_25,Retention,Design issue,Urgent,There is a design problem that needs to be fixed. Issue related to 'lost'.
Client_22,Retention,New item,Urgent,A new resource needs to be created from scratch. Issue related to 'lost'.
Client_25,Neutral,Copy revision,Low,Review and correct the client's text. Issue related to 'content adjustment'.
Client_37,Retention,Copy revision,Low,Review and correct the client's text. Issue related to 'simplify'.
Client_25,Neutral,New item,Normal,A new resource needs to be created from scratch. Issue related to 'increase space'.
Client_32,Growth,New item,Normal,A new resource needs to be created from scratch. Issue related to 'change color'.
Client_22,Retention,New item,Normal,A new resource needs to be created from scratch. Issue related to 'change button'.
Client_9,Neutral,Copy revision,Low,Review and correct the client's text. Issue related to 'alt text'.
Client_37,Retention,Copy revision,Normal,Review and correct the client's text. Issue related to 'update'.
Client_30,Growth,Requested change,Urgent,The client requested a specific change. Issue related to 'broken / is broken'.
Client_30,Retention,New item,High,A new resource needs to be created from scratch. Issue related to 'lost'.
Client_17,Neutral,New item,Urgent,A new resource needs to be created from scratch. Issue related to 'not visible'.
Client_23,Growth,Copy revision,Low,Review and correct the client's text. Issue related to 'fix style'.
Client_3,Neutral,Design issue,High,There is a design problem that needs to be fixed. Issue related to 'does not work'.
Client_40,Growth,Design issue,High,There is a design problem that needs to be fixed. Issue related to 'does not load'.
Client_37,Neutral,New item,Normal,A new resource needs to be created from scratch. Issue related to 'center'.
Client_11,Retention,Copy revision,Normal,Review and correct the client's text. Issue related to 'adjust'.
Client_20,Growth,Copy revision,Low,Review and correct the client's text. Issue related to 'alt text'.
Client_25,Retention,Design issue,Urgent,There is a design problem that needs to be fixed. Issue related to 'misconfigured'.
Client_7,Retention,Requested change,Normal,The client requested a specific change. Issue related to 'replace'.
Client_37,Neutral,Requested change,Normal,The client requested a specific change. Issue related to 'center'.
Client_5,Retention,Requested change,Urgent,The client requested a specific change. Issue related to 'lost'.
Client_32,Growth,Requested change,High,The client requested a specific change. Issue related to 'critical'.
Client_10,Retention,Requested change,Normal,The client requested a specific change. Issue related to 'reorder'.
Client_30,Retention,Requested change,High,The client requested a specific change. Issue related to 'misconfigured'.
Client_6,Growth,New item,High,A new resource needs to be created from scratch. Issue related to 'critical'.
Client_37,Retention,New item,High,A new resource needs to be created from scratch. Issue related to 'urgent'.
Client_21,Growth,Design issue,Urgent,There is a design problem that needs to be fixed. Issue related to 'blocks'.
Client_22,Growth,Requested change,High,The client requested a specific change. Issue related to 'incomplete'.
Client_13,Growth,New item,Normal,A new resource needs to be created from scratch. Issue related to 'increase space'.
Client_31,Retention,New item,High,A new resource needs to be created from scratch. Issue related to 'does not work'.
Client_6,Growth,New item,Normal,A new resource needs to be created from scratch. Issue related to 'delete'.
Client_38,Retention,Requested change,High,The client requested a specific change. Issue related to 'not responsive / does not adapt'.
Client_23,Neutral,Requested change,Normal,The client requested a specific change. Issue related to 'increase space'.
Client_8,Neutral,Requested change,High,The client requested a specific change. Issue related to 'bug'.
Client_13,Growth,New item,High,A new resource needs to be created from scratch. Issue related to 'incomplete'.
Client_39,Growth,Copy revision,Low,Review and correct the client's text. Issue related to 'simplify'.
Client_15,Retention,Requested change,Urgent,The client requested a specific change. Issue related to 'error'.
Client_18,Growth,Copy revision,Normal,Review and correct the client's text. Issue related to 'update'.
Client_32,Growth,Copy revision,Normal,Review and correct the client's text. Issue related to 'reorder'.
Client_31,Retention,Design issue,Low,There is a design problem that needs to be fixed. Issue related to 'simplify'.
Client_31,Growth,Copy revision,Normal,Review and correct the client's text. Issue related to 'change location'.
Client_37,Retention,Copy revision,Urgent,Review and correct the client's text. Issue related to 'cuts off'.
Client_6,Neutral,Copy revision,Normal,Review and correct the client's text. Issue related to 'change image'.
Client_39,Retention,Design issue,Normal,There is a design problem that needs to be fixed. Issue related to 'change color'.
Client_29,Neutral,Requested change,Low,The client requested a specific change. Issue related to 'remove phrase'.
Client_20,Retention,Copy revision,Normal,Review and correct the client's text. Issue related to 'replace'.
Client_14,Retention,Requested change,Normal,The client requested a specific change. Issue related to 'adjust'.
Client_16,Growth,Copy revision,High,Review and correct the client's text. Issue related to 'lost'.
Client_29,Retention,New item,High,A new resource needs to be created from scratch. Issue related to 'misconfigured'.
Client_19,Neutral,New item,Urgent,A new resource needs to be created from scratch. Issue related to 'misconfigured'.
Client_17,Neutral,Design issue,Normal,There is a design problem that needs to be fixed. Issue related to 'increase space'.
Client_10,Neutral,Design issue,Urgent,There is a design problem that needs to be fixed. Issue related to 'bug'.
Client_20,Retention,Requested change,High,The client requested a specific change. Issue related to 'critical'.
Client_20,Retention,Requested change,High,The client requested a specific change. Issue related to 'urgent'.
Client_29,Growth,Copy revision,Low,Review and correct the client's text. Issue related to 'improve writing'.
Client_21,Retention,Copy revision,Urgent,Review and correct the client's text. Issue related to 'does not work'.
Client_18,Retention,Design issue,High,There is a design problem that needs to be fixed. Issue related to 'critical'.
Client_18,Growth,New item,Normal,A new resource needs to be created from scratch. Issue related to 'reorder'.
Client_6,Retention,New item,High,A new resource needs to be created from scratch. Issue related to 'does not load'.
Client_11,Retention,New item,High,A new resource needs to be created from scratch. Issue related to 'does not respond'.
Client_36,Growth,Copy revision,Normal,Review and correct the client's text. Issue related to 'align'.
Client_8,Neutral,New item,Low,A new resource needs to be created from scratch. Issue related to 'text style'.
Client_1,Retention,New item,High,A new resource needs to be created from scratch. Issue related to 'broken / is broken'.
Client_34,Retention,New item,Normal,A new resource needs to be created from scratch. Issue related to 'relocate'.
Client_14,Growth,Design issue,Low,There is a design problem that needs to be fixed. Issue related to 'modify text'.
Client_32,Growth,Design issue,Normal,There is a design problem that needs to be fixed. Issue related to 'delete'.
Client_36,Growth,New item,Urgent,A new resource needs to be created from scratch. Issue related to 'does not load'.
Client_30,Neutral,Design issue,Normal,There is a design problem that needs to be fixed. Issue related to 'delete'.
Client_33,Neutral,New item,Low,A new resource needs to be created from scratch. Issue related to 'modify text'.
Client_16,Retention,Design issue,High,There is a design problem that needs to be fixed. Issue related to 'incomplete'.
Client_9,Neutral,Requested change,Low,The client requested a specific change. Issue related to 'text style'.
Client_27,Retention,Requested change,Normal,The client requested a specific change. Issue related to 'delete'.
Client_20,Neutral,New item,Low,A new resource needs to be created from scratch. Issue related to 'modify text'.
Client_35,Retention,Requested change,High,The client requested a specific change. Issue related to 'does not respond'.
Client_30,Neutral,Design issue,Low,There is a design problem that needs to be fixed. Issue related to 'rewrite'.
Client_37,Retention,New item,Urgent,A new resource needs to be created from scratch. Issue related to 'urgent'.
Client_25,Retention,Design issue,High,There is a design problem that needs to be fixed. Issue related to 'not visible'.
Client_9,Retention,Requested change,Normal,The client requested a specific change. Issue related to 'change button'.
Client_7,Retention,New item,Urgent,A new resource needs to be created from scratch. Issue related to 'error'.
Client_27,Neutral,Design issue,Urgent,There is a design problem that needs to be fixed. Issue related to 'blocks'.
Client_22,Retention,New item,Normal,A new resource needs to be created from scratch. Issue related to 'align'.
Client_35,Retention,Requested change,Normal,The client requested a specific change. Issue related to 'reorder'.
Client_35,Growth,Copy revision,High,Review and correct the client's text. Issue related to 'cuts off'.
Client_15,Neutral,New item,Low,A new resource needs to be created from scratch. Issue related to 'content adjustment'.
Client_7,Retention,Requested change,Low,The client requested a specific change. Issue related to 'change text'.
Client_21,Neutral,Requested change,Normal,The client requested a specific change. Issue related to 'change image'.
Client_10,Growth,New item,Normal,A new resource needs to be created from scratch. Issue related to 'adjust'.
Client_11,Growth,New item,Normal,A new resource needs to be created from scratch. Issue related to 'increase space'.
Client_32,Neutral,Design issue,High,There is a design problem that needs to be fixed. Issue related to 'blocks'.
Client_30,Growth,Copy revision,Low,Review and correct the client's text. Issue related to 'modify text'.
Client_19,Retention,Design issue,Urgent,There is a design problem that needs to be fixed. Issue related to 'does not allow to continue'.
Client_38,Growth,New item,Normal,A new resource needs to be created from scratch. Issue related to 'change button'.
Client_20,Growth,New item,Low,A new resource needs to be created from scratch. Issue related to 'spelling'.
Client_16,Retention,Requested change,High,The client requested a specific change. Issue related to 'cuts off'.
Client_2,Neutral,New item,High,A new resource needs to be created from scratch. Issue related to 'not visible'.
Client_39,Neutral,Requested change,Low,The client requested a specific change. Issue related to 'rewrite'.
Client_39,Neutral,Design issue,Normal,There is a design problem that needs to be fixed. Issue related to 'improve visibility'.
Client_9,Retention,Copy revision,High,Review and correct the client's text. Issue related to 'critical'.
Client_3,Retention,Design issue,Urgent,There is a design problem that needs to be fixed. Issue related to 'cuts off'.
Client_21,Neutral,Design issue,High,There is a design problem that needs to be fixed. Issue related to 'does not allow to continue'.
Client_34,Retention,Requested change,Normal,The client requested a specific change. Issue related to 'improve visibility'.
Client_31,Neutral,Requested change,Low,The client requested a specific change. Issue related to 'add word'.
Client_8,Retention,Copy revision,Urgent,Review and correct the client's text. Issue related to 'misconfigured'.
Client_26,Neutral,Requested change,Urgent,The client requested a specific change. Issue related to 'does not respond'.
Client_1,Growth,Copy revision,Normal,Review and correct the client's text. Issue related to 'improve visibility'.
Client_38,Retention,Requested change,Urgent,The client requested a specific change. Issue related to 'misconfigured'.
Client_31,Growth,Requested change,Low,The client requested a specific change. Issue related to 'rewrite'.
Client_5,Retention,New item,Low,A new resource needs to be created from scratch. Issue related to 'simplify'.
Client_27,Growth,Copy revision,Low,Review and correct the client's text. Issue related to 'simplify'.
Client_32,Growth,Design issue,Normal,There is a design problem that needs to be fixed. Issue related to 'update'.
Client_25,Retention,New item,High,A new resource needs to be created from scratch. Issue related to 'error'.
Client_27,Retention,New item,Normal,A new resource needs to be created from scratch. Issue related to 'improve visibility'.
Client_3,Retention,Design issue,High,There is a design problem that needs to be fixed. Issue related to 'misconfigured'.
Client_24,Growth,Requested change,High,The client requested a specific change. Issue related to 'does not allow to continue'.
Client_4,Retention,Design issue,Low,There is a design problem that needs to be fixed. Issue related to 'text style'.
Client_30,Growth,Design issue,High,There is a design problem that needs to be fixed. Issue related to 'does not work'.
Client_4,Neutral,Design issue,Low,There is a design problem that needs to be fixed. Issue related to 'content adjustment'.
Client_37,Growth,Design issue,High,There is a design problem that needs to be fixed. Issue related to 'misconfigured'.
Client_22,Neutral,Copy revision,High,Review and correct the client's text. Issue related to 'error'.
Client_9,Retention,Design issue,Urgent,There is a design problem that needs to be fixed. Issue related to 'does not work'.
Client_9,Growth,Design issue,High,There is a design problem that needs to be fixed. Issue related to 'does not work'.
Client_12,Growth,Design issue,Normal,There is a design problem that needs to be fixed. Issue related to 'spacing'.
Client_8,Neutral,New item,Normal,A new resource needs to be created from scratch. Issue related to 'center'.
Client_33,Retention,New item,High,A new resource needs to be created from scratch. Issue related to 'not visible'.
Client_34,Retention,Copy revision,Urgent,Review and correct the client's text. Issue related to 'urgent'.
Client_26,Retention,Copy revision,High,Review and correct the client's text. Issue related to 'critical'.
Client_5,Neutral,Requested change,Normal,The client requested a specific change. Issue related to 'change location'.
Client_9,Growth,Requested change,Urgent,The client requested a specific change. Issue related to 'incomplete'.
Client_19,Retention,New item,Urgent,A new resource needs to be created from scratch. Issue related to 'does not load'.
Client_36,Neutral,Design issue,Normal,There is a design problem that needs to be fixed. Issue related to 'increase space'.
Client_27,Retention,New item,High,A new resource needs to be created from scratch. Issue related to 'does not load'.
Client_21,Retention,Requested change,High,The client requested a specific change. Issue related to 'error'.
Client_31,Growth,Copy revision,Urgent,Review and correct the client's text. Issue related to 'does not load'.
Client_24,Neutral,Copy revision,Normal,Review and correct the client's text. Issue related to 'align'.
Client_8,Retention,New item,Normal,A new resource needs to be created from scratch. Issue related to 'relocate'.
Client_19,Retention,Requested change,Urgent,The client requested a specific change. Issue related to 'incomplete'.
Client_14,Growth,New item,High,A new resource needs to be created from scratch. Issue related to 'does not load'.
Client_23,Neutral,Requested change,High,The client requested a specific change. Issue related to 'blocks'.
Client_37,Growth,New item,Low,A new resource needs to be created from scratch. Issue related to 'content adjustment'.
Client_40,Retention,Copy revision,Normal,Review and correct the client's text. Issue related to 'improve visibility'.
Client_2,Growth,Requested change,Low,The client requested a specific change. Issue related to 'add word'.
Client_1,Growth,Design issue,High,There is a design problem that needs to be fixed. Issue related to 'does not respond'.
Client_5,Growth,Copy revision,Urgent,Review and correct the client's text. Issue related to 'incomplete'.
Client_14,Retention,New item,High,A new resource needs to be created from scratch. Issue related to 'does not allow to continue'.
Client_20,Neutral,Copy revision,Low,Review and correct the client's text. Issue related to 'tone'.
Client_11,Neutral,Copy revision,Normal,Review and correct the client's text. Issue related to 'improve visibility'.
Client_29,Retention,New item,Normal,A new resource needs to be created from scratch. Issue related to 'change image'.
Client_18,Growth,Copy revision,Normal,Review and correct the client's text. Issue related to 'replace'.
Client_19,Retention,New item,High,A new resource needs to be created from scratch. Issue related to 'cuts off'.
Client_3,Growth,Copy revision,Urgent,Review and correct the client's text. Issue related to 'cuts off'.
Client_14,Neutral,Requested change,High,The client requested a specific change. Issue related to 'does not load'.
Client_1,Retention,New item,Urgent,A new resource needs to be created from scratch. Issue related to 'does not respond'.
Client_35,Neutral,Requested change,Urgent,The client requested a specific change. Issue related to 'not visible'.
Client_28,Growth,Copy revision,Low,Review and correct the client's text. Issue related to 'alt text'.
Client_28,Retention,New item,High,A new resource needs to be created from scratch. Issue related to 'does not respond'.
Client_2,Neutral,Design issue,Low,There is a design problem that needs to be fixed. Issue related to 'alt text'.
Client_30,Neutral,Requested change,Urgent,The client requested a specific change. Issue related to 'does not load'.
Client_16,Retention,New item,High,A new resource needs to be created from scratch. Issue related to 'does not respond'.
Client_20,Neutral,Design issue,Normal,There is a design problem that needs to be fixed. Issue related to 'adjust'.
Client_5,Retention,Copy revision,High,Review and correct the client's text. Issue related to 'broken / is broken'.
Client_23,Retention,Design issue,High,There is a design problem that needs to be fixed. Issue related to 'error'.
Client_17,Growth,Design issue,Normal,There is a design problem that needs to be fixed. Issue related to 'change location'.
Client_12,Neutral,New item,Normal,A new resource needs to be created from scratch. Issue related to 'change button'.
Client_37,Retention,Requested change,Normal,The client requested a specific change. Issue related to 'align'.
Client_10,Retention,New item,High,A new resource needs to be created from scratch. Issue related to 'cuts off'.
Client_18,Retention,Requested change,High,The client requested a specific change. Issue related to 'cuts off'.
Client_30,Retention,Copy revision,High,Review and correct the client's text. Issue related to 'cuts off'.
Client_5,Retention,Copy revision,Normal,Review and correct the client's text. Issue related to 'spacing'.
Client_25,Retention,Copy revision,High,Review and correct the client's text. Issue related to 'broken / is broken'.
Client_21,Retention,Design issue,Low,There is a design problem that needs to be fixed. Issue related to 'modify text'.
Client_7,Neutral,Requested change,Low,The client requested a specific change. Issue related to 'spelling'.
Client_33,Retention,Copy revision,High,Review and correct the client's text. Issue related to 'critical'.
Client_29,Retention,Design issue,High,There is a design problem that needs to be fixed. Issue related to 'cuts off'.
Client_25,Retention,Requested change,Normal,The client requested a specific change. Issue related to 'relocate'.
Client_22,Growth,Copy revision,Normal,Review and correct the client's text. Issue related to 'change color'.
Client_19,Growth,Design issue,Urgent,There is a design problem that needs to be fixed. Issue related to 'error'.
Client_23,Retention,New item,Urgent,A new resource needs to be created from scratch. Issue related to 'does not appear'.
Client_20,Retention,Requested change,Normal,The client requested a specific change. Issue related to 'spacing'.
Client_6,Retention,New item,High,A new resource needs to be created from scratch. Issue related to 'does not work'.
Client_24,Retention,Design issue,High,There is a design problem that needs to be fixed. Issue related to 'urgent'.
Client_13,Growth,Design issue,Urgent,There is a design problem that needs to be fixed. Issue related to 'cuts off'.
Client_7,Retention,Copy revision,Normal,Review and correct the client's text. Issue related to 'update'.
Client_39,Retention,Design issue,Urgent,There is a design problem that needs to be fixed. Issue related to 'bug'.
Client_29,Growth,Requested change,High,The client requested a specific change. Issue related to 'misconfigured'.
Client_29,Retention,New item,High,A new resource needs to be created from scratch. Issue related to 'misconfigured'.
Client_20,Neutral,New item,Low,A new resource needs to be created from scratch. Issue related to 'rewrite'.
Client_24,Retention,New item,High,A new resource needs to be created from scratch. Issue related to 'cuts off'.
Client_25,Retention,New item,Low,A new resource needs to be created from scratch. Issue related to 'text style'.
Client_13,Neutral,Design issue,Low,There is a design problem that needs to be fixed. Issue related to 'change text'.
Client_31,Neutral,Copy revision,Low,Review and correct the client's text. Issue related to 'copy'.
Client_8,Growth,Design issue,Urgent,There is a design problem that needs to be fixed. Issue related to 'incomplete'.
Client_10,Neutral,Copy revision,Low,Review and correct the client's text. Issue related to 'rewrite'.
Client_29,Neutral,Copy revision,Normal,Review and correct the client's text. Issue related to 'change color'.
Client_33,Retention,New item,Low,A new resource needs to be created from scratch. Issue related to 'add word'.
Client_15,Growth,Copy revision,Low,Review and correct the client's text. Issue related to 'fix style'.
Client_22,Neutral,Design issue,Urgent,There is a design problem that needs to be fixed. Issue related to 'urgent'.
Client_9,Neutral,New item,Normal,A new resource needs to be created from scratch. Issue related to 'move'.
Client_6,Growth,Design issue,Normal,There is a design problem that needs to be fixed. Issue related to 'spacing'.
Client_28,Growth,Requested change,Urgent,The client requested a specific change. Issue related to 'does not load'.
Client_4,Growth,New item,Urgent,A new resource needs to be created from scratch. Issue related to 'urgent'.
Client_39,Retention,Design issue,Normal,There is a design problem that needs to be fixed. Issue related to 'delete'.
Client_28,Growth,Requested change,Urgent,The client requested a specific change. Issue related to 'lost'.
Client_12,Retention,Copy revision,High,Review and correct the client's text. Issue related to 'does not allow to continue'.
Client_5,Neutral,Copy revision,Normal,Review and correct the client's text. Issue related to 'reorder'.
Client_3,Retention,Requested change,High,The client requested a specific change. Issue related to 'does not work'.
Client_23,Neutral,Requested change,High,The client requested a specific change. Issue related to 'does not load'.
Client_38,Neutral,Requested change,High,The client requested a specific change. Issue related to 'does not allow to continue'.
Client_35,Retention,Design issue,Normal,There is a design problem that needs to be fixed. Issue related to 'change button'.
Client_31,Retention,Design issue,Urgent,There is a design problem that needs to be fixed. Issue related to 'critical'.
Client_3,Growth,Copy revision,Low,Review and correct the client's text. Issue related to 'change text'.
Client_21,Neutral,New item,Low,A new resource needs to be created from scratch. Issue related to 'copy'.
Client_31,Growth,Design issue,Urgent,There is a design problem that needs to be fixed. Issue related to 'not visible'.
Client_22,Growth,Requested change,High,The client requested a specific change. Issue related to 'does not respond'.
Client_29,Neutral,New item,Normal,A new resource needs to be created from scratch. Issue related to 'adjust'.
Client_32,Retention,Requested change,Low,The client requested a specific change. Issue related to 'copy'.
Client_18,Neutral,New item,Urgent,A new resource needs to be created from scratch. Issue related to 'bug'.
Client_35,Growth,Copy revision,Urgent,Review and correct the client's text. Issue related to 'cuts off'.
Client_20,Retention,New item,Urgent,A new resource needs to be created from scratch. Issue related to 'critical'.
Client_23,Retention,Requested change,Normal,The client requested a specific change. Issue related to 'change image'.
Client_18,Retention,Copy revision,Urgent,Review and correct the client's text. Issue related to 'does not respond'.
Client_24,Retention,Design issue,Low,There is a design problem that needs to be fixed. Issue related to 'tone'.
Client_39,Retention,New item,Urgent,A new resource needs to be created from scratch. Issue related to 'does not appear'.
Client_16,Neutral,Requested change,Normal,The client requested a specific change. Issue related to 'relocate'.
Client_39,Growth,New item,Low,A new resource needs to be created from scratch. Issue related to 'add word'.
Client_29,Neutral,Design issue,Normal,There is a design problem that needs to be fixed. Issue related to 'change color'.
Client_21,Retention,Design issue,Low,There is a design problem that needs to be fixed. Issue related to 'change text'.
Client_12,Retention,New item,Low,A new resource needs to be created from scratch. Issue related to 'spelling'.
Client_17,Neutral,New item,High,A new resource needs to be created from scratch. Issue related to 'cuts off'.
Client_32,Growth,Design issue,Normal,There is a design problem that needs to be fixed. Issue related to 'change button'.
Client_12,Neutral,New item,Low,A new resource needs to be created from scratch. Issue related to 'content adjustment'.
